GO term	Primary symbol
GO:0000109	ERCC1|ERCC4|ERCC5|ERCC8|POLD1|XPC
GO:0000110	ERCC1|ERCC4|XPA
GO:0000111	XPC
GO:0000112	ERCC3
GO:0000117	BACH1
GO:0000118	CBX5|DNTTIP1|ELMSAN1|HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9|HINT1|MBD2|MECOM|MTA2|NCOR1|NCOR1P1|NCOR2|NRIP1|PHF21A|RERE|SAP18|SAP30|SAP30L|SATB2|TAF6L|TAL1|TBL1X|TBL1XR1|TBL1Y|TRERF1|ZNF217|ZNF541
GO:0000120	CD3EAP|TAF1A
GO:0000121	PGP
GO:0000122	ACVR2B|AEBP1|AEBP2|AHRR|AJUBA|AKIRIN2|ALX1|ANKRD1|ANKRD2|ANKRD33|APBB1|AR|ARHGAP35|ARID1A|ARID5A|ARID5B|ARX|ASCL1|ASCL2|ASCL3|ASCL4|ASCL5|ATF2|ATF3|ATF7IP|ATN1|ATXN1|ATXN1L|AURKB|BACH1|BACH2|BARX2|BATF3|BCL11A|BCL6|BCL6B|BCOR|BEND3|BHLHE40|BHLHE41|BMI1|BMP2|BMP4|BMP6|BPTF|BRMS1|BRMS1L|BTG2|C1QBP|CALR|CAV1|CBFA2T2|CBFB|CBX2|CBX4|CBX5|CBX6|CBX7|CBX8|CC2D1A|CC2D1B|CCND1|CCND3|CCNE1|CD36|CDC73|CDK2|CDK6|CDKN1C|CDX2|CDX4|CEBPA|CEBPB|CELA1|CGGBP1|CHCHD3|CHD8|CIC|CIITA|CITED2|CNBP|CNOT1|CNOT2|CNOT7|COPS2|CPEB3|CREB3L1|CREBBP|CREM|CRY1|CRY2|CRYM|CTBP1|CTCF|CTNNB1|CTR9|CUL3|CUX1|CUX2|CXXC5|DAB2IP|DACH1|DACT1|DCAF1|DDIT3|DDX20|DDX5|DEAF1|DICER1|DKK1|DLG1|DLL4|DLX1|DLX2|DLX4|DMAP1|DMBX1|DMRT1|DNAJA3|DNAJB5|DNAJC17|DNMT1|DNMT3A|DNMT3B|DPF2|DR1|DRAP1|DRD3|DUSP22|DUSP26|E2F1|E2F2|E2F3|E2F4|E2F5|E2F6|E2F7|E2F8|E4F1|EDN1|EDNRB|EED|EFNA1|EGR1|EHMT1|EHMT2|EID1|EID2|ELANE|ELK3|ELK4|EMX1|EMX2|EN1|ENO1|EOMES|EP300|EPC1|EPO|ERF|ESR1|ESR2|ESRRA|ESX1|ETS2|ETV3|ETV3L|ETV6|ETV7|EZH1|EZH2|EZR|FAM220A|FAM220BP|FASLG|FBP1|FERD3L|FEZF1|FEZF2|FGF9|FGFR1|FGFR2|FHL2|FLCN|FNIP1|FNIP2|FOSB|FOXA1|FOXC1|FOXC2|FOXD3|FOXE1|FOXF1|FOXH1|FOXJ1|FOXK1|FOXK2|FOXL2|FOXM1|FOXO1|FOXO3|FOXO4|FOXO6|FOXP2|FOXP3|FOXQ1|FOXS1|FRK|FST|GABPA|GATA1|GATA2|GATA3|GATA6|GATAD2A|GATAD2B|GCFC2|GFI1|GFI1B|GLI2|GLI3|GLIS1|GLIS2|GLIS3|GPS2|GSC|GSX1|GZF1|H1F0|H2AFY|H2AFY2|HAMP|HAND1|HBZ|HCFC1|HCFC2|HCLS1|HDAC1|HDAC10|HDAC2|HDAC3|HDAC4|HDAC5|HDAC7|HDAC8|HDAC9|HDGF|HELT|HES1|HES2|HES3|HES4|HES5|HES6|HES7|HESX1|HEXIM1|HEXIM2|HEY1|HEY2|HEYL|HHEX|HIC1|HINFP|HIPK2|HIST1H1B|HIST1H1C|HIST1H1D|HIST1H1E|HIVEP1|HJV|HMBOX1|HMG20A|HMGA2|HMGB1|HMX1|HNF1B|HNRNPA2B1|HNRNPU|HOMEZ|HOXA2|HOXA7|HOXB13|HOXB2|HOXB3|HOXB4|HOXB8|HOXC8|HOXD8|HOXD9|HSBP1|HSF1|HSF4|ID1|ID2|ID3|ID4|IFI16|IFI27|IFNG|IGBP1|IGF2|IGHMBP2|IKZF5|IMPACT|INSM1|INSM2|IRF2|IRF2BP1|IRF2BPL|IRF3|IRF7|IRF8|IRX1|IRX2|ISL1|JARID2|JAZF1|JDP2|JUN|JUNB|JUND|KANK2|KAT5|KCNIP3|KCTD1|KDM1A|KDM1B|KDM2B|KDM5A|KHDRBS1|KLF10|KLF11|KLF12|KLF16|KLF2|KLF3|KLF4|KLF5|KLF7|KLF8|KMT5A|LDB1|LDB2|LEF1|LEFTY1|LEP|LIN37|LMCD1|LMO1|LOXL2|LRRFIP1|LYAR|MAD2L2|MAEL|MAF|MAFK|MAGEA1|MAGEA2|MAP2K5|MAPK10|MAX|MBD1|MBD2|MBD3|MBD3L1|MBD3L2|MBD3L2B|MBD3L3|MBD3L4|MBD3L5|MCPH1|MDFI|MDM2|MDM4|MECP2|MED1|MED25|MEF2A|MEF2C|MEIS2|MEN1|MEPCE|MGA|MIER1|MIER2|MIER3|MITF|MLIP|MLX|MLXIPL|MMP12|MNT|MOSPD1|MSC|MSX1|MSX2|MTA1|MTA2|MTA3|MTDH|MTF1|MTF2|MXD1|MXD3|MXD4|MXI1|MYB|MYC|MYOCD|MYOZ1|MYOZ2|MYPOP|MYT1L|MZF1|N4BP2L2|NACC2|NCOA2|NCOR1|NCOR1P1|NCOR2|NEDD4L|NEUROG3|NFATC2|NFE2L3|NFIA|NFIB|NFIC|NFIL3|NFIX|NFKB1|NFKB2|NFX1|NIPBL|NKAP|NKX2-1|NKX2-5|NKX3-2|NKX6-1|NKX6-2|NOC2L|NODAL|NOG|NOP53|NOTCH1|NOTCH3|NOTO|NPAS1|NR0B1|NR0B2|NR1D1|NR1D2|NR1H2|NR1H3|NR1H4|NR1I2|NR1I3|NR2C1|NR2E1|NR2E3|NR2F1|NR2F2|NR2F6|NR3C1|NR4A2|NR4A3|NR6A1|NRARP|NRIP1|NSD1|NSD2|NUPR2|OLIG2|OLIG3|ORC2|OSR1|OSR2|OTUD7B|OVOL1|OVOL2|OVOL3|PAF1|PARP1|PARP15|PARP9|PATZ1|PAWR|PAX5|PAX6|PAXBP1|PCBP3|PCGF1|PCGF2|PCGF6|PCNA|PDE2A|PDX1|PEG3|PER1|PER2|PER3|PEX2|PHB|PHF12|PHF14|PHF21A|PHF6|PIAS1|PIAS3|PIAS4|PKIA|PKIG|PLK1|PLK3|POU1F1|POU4F1|POU4F2|POU5F1|POU6F1|PPARA|PPARD|PPARG|PPID|PPM1A|PPP1R13L|PRDM1|PRDM13|PRDM14|PRDM16|PRDM5|PRKN|PRMT6|PROP1|PROX1|PROX2|PRRX1|PSEN1|PSMD10|PTCH1|PTH|PTPN2|PURA|PURB|PURG|RARA|RARB|RARG|RB1|RBBP7|RBL1|RBM10|RBPJ|RCOR1|REL|RELA|RELB|REST|RFC1|RFX5|RIF1|RIPPLY1|RIPPLY2|RIPPLY3|RITA1|RLIM|RNF2|RORC|RPL10|RPL23|RPS14|RPS27A|RREB1|RTF1|RUNX1|RUNX3|RXRA|RYBP|S100A1|SALL1|SALL2|SALL4|SAP130|SAP30|SARNP|SARS|SATB1|SATB2|SCGB1A1|SCRT1|SCRT2|SDR16C5|SEMA4D|SFPQ|SHH|SIM2|SIN3A|SIN3B|SIRT1|SIRT2|SIRT6|SIRT7|SIX1|SKI|SKIL|SLA2|SMAD2|SMAD3|SMAD4|SMAD5|SMAD7|SMARCA2|SMARCA4|SMO|SMURF2|SMYD2|SNAI1|SNAI2|SNAI3|SNCA|SNW1|SORBS3|SOX11|SOX14|SOX15|SOX18|SOX2|SOX6|SP100|SP2|SP3|SP5|SPDEF|SPEN|SPI1|SQSTM1|SREBF1|SREBF2|SRY|STAT1|STAT3|STAT6|STRAP|SUDS3|SUFU|SUMO1|SUPT4H1|SUPT5H|SUV39H1|SUV39H2|SUZ12|TAF3|TAF7|TAF9B|TAGLN3|TAL1|TBL1X|TBL1XR1|TBR1|TBX1|TBX10|TBX15|TBX18|TBX19|TBX2|TBX20|TBX21|TBX22|TBX3|TBX4|TBX5|TBX6|TBXT|TCEAL1|TCERG1|TCF21|TCF25|TCF3|TCF7|TCF7L2|TCFL5|TCP10L|TDG|TENM2|TFAP2A|TFAP2B|TFAP2C|TFCP2L1|TGFB1|TGIF1|TGIF2|THAP1|THAP11|THRA|THRB|TIMELESS|TLE4|TLE5|TMPRSS6|TNF|TP53|TP63|TPR|TRAF6|TRIB3|TRIM27|TRIM28|TRIM29|TRIM33|TRIM37|TRPS1|TRPV1|TRPV4|TWIST1|TXN|TXNIP|UBA52|UBB|UBC|UBE2D1|UBE2D3|UBE2I|UHRF1|URI1|USP2|USP3|USP9X|UXT|VAX1|VAX2|VDR|VEGFA|VHL|VPS72|VRTN|WDTC1|WFS1|WNT10B|WT1|WWC1|WWC2|WWC3|WWOX|WWP2|WWTR1|XPO1|YBX3|YEATS2|YY1|ZBTB1|ZBTB12|ZBTB14|ZBTB16|ZBTB18|ZBTB2|ZBTB20|ZBTB24|ZBTB26|ZBTB32|ZBTB34|ZBTB37|ZBTB4|ZBTB42|ZBTB45|ZBTB5|ZBTB6|ZBTB7A|ZBTB7B|ZC3H8|ZEB1|ZEB2|ZFHX2|ZFHX3|ZFHX4|ZFP36|ZFP90|ZFPM1|ZFPM2|ZGLP1|ZGPAT|ZHX1|ZHX2|ZHX3|ZKSCAN3|ZNF131|ZNF136|ZNF140|ZNF148|ZNF157|ZNF174|ZNF175|ZNF177|ZNF189|ZNF202|ZNF205|ZNF217|ZNF219|ZNF224|ZNF239|ZNF254|ZNF263|ZNF268|ZNF281|ZNF296|ZNF345|ZNF350|ZNF354B|ZNF366|ZNF382|ZNF431|ZNF497|ZNF501|ZNF536|ZNF564|ZNF567|ZNF568|ZNF589|ZNF608|ZNF613|ZNF649|ZNF668|ZNF675|ZNF691|ZNF692|ZNF746|ZNF8|ZNF835
GO:0000123	CREBBP|DPF1|DPF2|DPF3|EP300|HCFC1|ING4|JADE1|JADE2|JADE3|KANSL1|KANSL2|KANSL3|KAT5|KAT6A|KAT6B|KAT7|KAT8|MCRS1|MORF4L1|MORF4L2|MSL3|MSL3P1|OGT|PHF10|PHF20|RSF1|WDR5
GO:0000124	ATXN7L3|ENY2|SGF29|SUPT20H|SUPT20HL1|SUPT20HL2|TADA1|TADA3|TAF12|TAF6|TAF6L|TAF9|TAF9B|TRRAP|USP22
GO:0000125	KAT2B|TADA2A|TAF10|TAF9|TRRAP
GO:0000126	BDP1|BRF1|BRF2|TBP|TBPL2
GO:0000127	GTF3C1|GTF3C2|GTF3C3|GTF3C4|GTF3C5|GTF3C6
